Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
1,David Aardsma,28,SEA,AL,53,0,0,49.2,6,2,3,1,0,.833,,,0,0,0,0.91,0.09,P,aardsda01
2,Fernando Abad,24,HOU,NL,22,0,0,19.0,3,0,3,0,0,1.000,,,0,0,0,1.42,0.14,P,abadfe01
3,Bobby Abreu,36,LAA,AL,134,134,113,1154.2,255,242,7,6,2,.976,-19,-20,-25,-25,-8,1.94,1.86,OF,abreubo01
4,Tony Abreu,25,ARI,NL,44,38,30,329.1,137,43,84,10,16,.927,-4,-13,-2,-5,0,3.47,2.70,3B-SS-2B,abreuto01
5,Jeremy Accardo,28,TOR,AL,5,0,0,6.2,1,0,1,0,0,1.000,,,0,0,0,1.35,0.20,P,accarje01
6,Alfredo Aceves,27,NYY,AL,10,0,0,12.0,2,0,2,0,0,1.000,,,1,18,0,1.50,0.20,P,aceveal01
7,Manny Acosta,29,NYM,NL,41,0,0,39.2,5,2,3,0,1,1.000,,,0,0,0,1.13,0.12,P,acostma01
8,Mike Adams,31,SDP,NL,70,0,0,66.2,10,4,6,0,0,1.000,,,0,0,0,1.35,0.14,P,adamsmi03
9,Jeremy Affeldt,31,SFG,NL,53,0,0,50.0,21,3,15,3,0,.857,,,0,0,0,3.24,0.34,P,affelje01
10,Jonathan Albaladejo,27,NYY,AL,10,0,0,11.1,2,0,2,0,0,1.000,,,1,19,0,1.59,0.20,P,albaljo01
11,Matt Albers,27,BAL,AL,62,0,0,75.2,22,6,15,1,3,.955,,,-1,-2,-1,2.50,0.34,P,alberma01
12,Cory Aldridge,31,LAA,AL,5,3,2,29.0,5,5,0,0,0,1.000,0,-17,-3,-124,0,1.55,1.00,OF,aldrico01
13,Eliézer Alfonzo,31,SEA,AL,12,10,9,91.0,58,54,2,2,0,.966,1,13,-1,-12,-1,5.54,4.67,C,alfonel01
14,Brandon Allen,24,ARI,NL,18,16,7,121.0,41,41,0,0,2,1.000,3,32,2,19,0,3.05,2.28,OF-1B,allenbr01
15,Yonder Alonso,23,CIN,NL,6,3,2,30.0,30,24,4,2,5,.933,0,16,2,88,1,8.40,4.67,1B,alonsyo01
16,Pedro Álvarez,23,PIT,NL,94,94,92,814.2,276,61,198,17,17,.938,-15,-22,-10,-14,0,2.86,2.76,3B,alvarpe01
17,Héctor Ambriz,26,CLE,AL,34,0,0,48.1,8,1,7,0,0,1.000,,,0,0,0,1.49,0.24,P,ambrihe01
18,Brett Anderson,22,OAK,AL,19,19,0,112.1,36,4,31,1,1,.972,,,2,4,0,2.80,1.84,P,anderbr04
19,Bryan Anderson,23,STL,NL,8,6,5,55.0,45,40,4,1,0,.978,-1,-22,-1,-20,0,7.20,5.50,C,anderbr05
20,Garret Anderson,38,LAD,NL,34,25,21,234.1,42,38,2,2,0,.952,2,10,2,10,0,1.54,1.18,OF,anderga01
21,Lars Anderson,22,BOS,AL,18,11,7,111.0,105,96,9,0,9,1.000,1,11,1,13,0,8.51,5.83,1B,anderla03
22,Robert Andino,26,BAL,AL,16,16,10,142.0,46,17,28,1,5,.978,1,7,1,9,0,2.85,2.14,2B-3B-SS,andinro01
23,Elvis Andrus,21,TEX,AL,148,144,140,1291.1,659,242,401,16,89,.976,3,3,-7,-6,-3,4.48,4.34,SS,andruel01
24,Rick Ankiel,30,TOT,ZZ,70,57,54,534.1,150,141,5,4,2,.973,-3,-7,-3,-6,-2,2.46,2.09,OF,ankieri01
25,J.P. Arencibia,24,TOR,AL,8,7,6,63.0,51,48,3,0,0,1.000,1,19,0,0,0,7.29,6.38,C,arencjp01
26,Joaquín Arias,25,TOT,MLB,49,27,15,258.2,156,86,66,4,23,.974,0,-2,-4,-18,0,5.29,3.10,2B-1B-SS-OF,ariasjo01
27,Jake Arrieta,24,BAL,AL,18,18,0,100.1,23,8,13,2,1,.913,,,0,0,0,1.88,1.17,P,arrieja01
28,Bronson Arroyo,33,CIN,NL,33,33,2,215.2,49,18,31,0,5,1.000,,,8,8,1,2.04,1.48,P,arroybr01
29,Scott Atchison,34,BOS,AL,43,1,0,60.0,13,7,6,0,1,1.000,,,0,0,0,1.95,0.30,P,atchisc01
30,Luis Atilano,25,WSN,NL,16,16,0,85.2,26,10,14,2,2,.923,,,1,3,0,2.52,1.50,P,atilalu01
31,Garrett Atkins,30,BAL,AL,30,30,29,259.1,259,242,16,1,24,.996,-4,-16,-5,-22,-1,8.95,8.60,1B,atkinga01
32,Mitch Atkins,24,CHC,NL,5,0,0,10.0,2,0,2,0,0,1.000,,,0,0,0,1.80,0.40,P,atkinmi01
33,Brad Ausmus,41,LAD,NL,21,19,15,167.2,174,168,5,1,0,.994,-2,-14,-1,-6,1,9.29,8.24,C,ausmubr01
34,Alex Avila,23,DET,AL,98,84,71,756.2,594,556,34,4,5,.993,-3,-5,-7,-11,-1,7.02,6.02,C,avilaal01
35,Mike Aviles,29,KCR,AL,103,101,98,894.2,505,203,288,14,45,.972,-7,-10,-8,-10,-2,4.94,4.68,2B-SS-3B,avilemi01
36,John Axford,27,MIL,NL,50,0,0,58.0,9,4,5,0,2,1.000,,,0,0,0,1.40,0.18,P,axforjo01
37,Erick Aybar,26,LAA,AL,135,133,130,1179.2,563,198,344,21,59,.963,-6,-6,4,4,-1,4.14,4.01,SS,aybarer01
38,Willy Aybar,27,TBR,AL,18,3,2,56.0,28,15,12,1,1,.964,-1,-15,0,6,0,4.34,1.42,3B-1B-2B,aybarwi01
39,Burke Badenhop,27,FLA,NL,53,0,0,67.2,23,1,21,1,2,.957,,,1,3,-1,2.93,0.42,P,badenbu01
40,Danys Báez,32,PHI,NL,51,0,0,47.2,17,0,17,0,0,1.000,,,3,13,0,3.21,0.33,P,baezda01
41,Andrew Bailey,26,OAK,AL,47,0,0,49.0,9,4,5,0,0,1.000,,,0,0,0,1.65,0.19,P,bailean01
42,Homer Bailey,24,CIN,NL,19,19,1,109.0,22,15,6,1,1,.955,,,-2,-3,0,1.73,1.11,P,baileho02
43,Jeff Baker,29,CHC,NL,65,48,34,431.2,203,85,111,7,15,.966,5,14,0,0,0,4.09,2.93,3B-2B-OF-1B,bakerje03
44,John Baker,29,FLA,NL,21,20,19,178.0,163,152,9,2,1,.988,-1,-7,-1,-5,1,8.14,7.67,C,bakerjo01
45,Scott Baker,28,MIN,AL,29,29,0,170.1,29,15,13,1,1,.966,,,2,2,0,1.48,0.97,P,bakersc02
46,Rocco Baldelli,28,TBR,AL,4,3,0,22.0,6,6,0,0,0,1.000,-1,-44,2,109,0,2.45,1.50,OF,baldero01
47,Collin Balester,24,WSN,NL,17,0,0,21.0,2,0,2,0,0,1.000,,,0,0,0,0.86,0.12,P,balesco01
