Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary,Name-additional
1,CJ Abrams*,22,WSN,151,614,-5,4,3,4,9,14,1.4,21,35,3.4,.509,.509,3.0,1.3,31,$724200,Traded,*6/H,abramcj01
2,José Abreu,36,HOU,141,594,-8,-2,-1,-1,-7,-19,-1.9,20,1,0.0,.486,.488,0.1,-0.8,2,$19500000,Free Agency,*3/D,abreujo02
3,Wilyer Abreu*,24,BOS,28,85,3,0,0,2,0,5,0.5,3,8,0.8,.517,.503,0.6,0.2,6,,Traded,87/H9D,abreuwi02
4,Ronald Acuña Jr.,25,ATL,159,735,63,7,-1,-2,-5,63,6.1,23,86,8.2,.538,.538,8.5,-0.7,88,$17000000,Amateur Free Agent,*9/D,acunaro01
5,Willy Adames,27,MIL,149,638,-5,-3,0,8,9,10,1.0,21,31,3.0,.507,.506,2.2,1.7,23,$8700000,Traded,*6/D,adamewi01
6,Jordyn Adams,23,LAA,17,40,-6,-1,0,-1,0,-8,-0.9,1,-7,-0.7,.450,.495,-0.6,-0.1,-6,,Amateur Draft,/98H7,adamsjo03
7,Riley Adams,27,WSN,44,158,3,-1,-1,1,3,5,0.5,5,11,1.0,.512,.503,1.0,0.4,10,$728800,Traded,2/HD,adamsri03
8,Ty Adcock,26,SEA,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1,adcocty01
9,Jo Adell,24,LAA,17,62,-2,0,0,3,0,1,0.1,2,3,0.3,.507,.501,0.0,0.3,0,,Amateur Draft,/987DH,adelljo01
10,Ehire Adrianza#,33,ATL,5,11,-2,0,0,-1,0,-3,-0.3,0,-3,-0.3,.432,.498,-0.2,-0.1,-2,$1000000,Traded,/H6,adriaeh01
11,Jesús Aguilar,33,OAK,36,115,-3,-1,-1,-3,-2,-9,-0.9,4,-5,-0.6,.474,.494,-0.3,-0.5,-2,$3000000,Free Agency,3/DH,aguilje01
12,Nick Ahmed,33,ARI,72,210,-14,1,1,1,3,-8,-0.8,7,-1,-0.1,.489,.495,-0.2,0.4,-2,$10375000,Traded,6H/D,ahmedni01
13,Hanser Alberto,30,CHW,30,90,-3,0,1,1,1,0,0.0,3,3,0.3,.499,.500,0.2,0.2,2,$454285,Free Agency,54/31H,alberha01
14,Ozzie Albies#,26,ATL,148,660,16,5,1,0,5,27,2.7,21,49,4.7,.518,.517,4.7,0.5,49,$7000000,Amateur Free Agent,*4,albieoz01
15,Scott Alexander*,33,SFG,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1200000,Free Agency,1,alexasc02
16,Jorge Alfaro,30,2TM,18,52,-5,0,0,0,0,-6,-0.6,2,-4,-0.4,.466,.498,-0.5,0.0,-4,,Free Agency,/2DH,alfarjo01
17,Greg Allen#,30,NYY,22,28,1,0,0,-2,-1,-1,-0.1,1,0,0.0,.495,.499,0.2,-0.3,2,,Traded,7H/98D,allengr01
18,Nick Allen,24,OAK,106,329,-17,1,-1,3,5,-8,-0.8,11,3,0.3,.492,.495,0.0,0.9,0,$720000,Amateur Draft,6/H4D,allenni02
19,Abraham Almonte#,34,NYM,8,16,-3,0,0,-1,0,-4,-0.4,1,-3,-0.3,.450,.498,-0.2,-0.1,-2,,Free Agency,/HD79,almonab01
20,Pete Alonso,28,NYM,154,658,16,-2,-1,6,-8,11,1.1,22,33,3.2,.507,.507,2.6,-0.2,27,$14500000,Amateur Draft,*3/D,alonspe01
21,Jose Altuve,33,HOU,90,410,24,2,0,-13,3,16,1.6,13,29,2.8,.517,.509,4.1,-1.0,41,$29000000,Amateur Free Agent,4/DH,altuvjo01
22,Jake Alu*,26,WSN,51,175,-7,0,1,-1,0,-7,-0.7,6,-1,-0.1,.486,.496,0.0,-0.1,0,,Amateur Draft,74/5H,aluja01
23,Francisco Alvarez,21,NYM,123,423,-4,-2,-1,-4,7,-4,-0.4,14,11,1.0,.497,.498,1.4,0.3,15,,Free Agency,2H/D,alvarfr01
24,Yordan Alvarez*,26,HOU,114,496,42,-4,0,-1,-7,30,3.0,16,47,4.6,.526,.519,4.7,-0.9,48,$7833333,Traded,D7/H,alvaryo01
25,Jacob Amaya,24,MIA,4,9,-1,0,0,0,0,0,0.0,0,0,0.0,.489,.500,0.0,0.0,0,,Traded,/64,amayaja01
26,Miguel Amaya,24,CHC,53,156,-3,0,0,-2,2,-3,-0.3,5,3,0.2,.495,.498,0.4,0.0,5,,Free Agency,2/DH,amayami01
27,Brian Anderson,30,MIL,96,361,-6,-3,-2,4,0,-6,-0.7,12,6,0.5,.493,.496,0.1,0.4,2,$3500000,Free Agency,59/HD,anderbr06
28,Tim Anderson,30,CHW,123,524,-28,2,-1,-16,7,-37,-3.7,18,-19,-2.0,.470,.477,-0.4,-0.9,-3,$12500000,Amateur Draft,*6/H4,anderti01
29,Elvis Andrus,34,CHW,112,406,-10,0,0,-3,5,-8,-0.8,14,6,0.6,.493,.495,0.9,0.2,9,$3000000,Free Agency,46/H5D,andruel01
30,Miguel Andujar,28,PIT,30,90,1,0,1,-3,-1,-3,-0.3,3,1,0.0,.492,.498,0.3,-0.4,4,$1525000,Waivers,9/HD7,andujmi01
31,Jonathan Aranda*,25,TBR,34,103,-1,-1,0,1,-1,-1,-0.1,4,2,0.2,.497,.499,0.1,0.0,1,,Free Agency,D3H/45,arandjo01
32,Jonathan Araúz#,24,NYM,27,66,-6,0,0,0,1,-5,-0.5,2,-3,-0.3,.481,.497,-0.3,0.1,-3,,Waivers,5/46H,arauzjo01
33,Orlando Arcia,28,ATL,139,533,-2,1,-1,-6,8,-1,-0.1,18,17,1.6,.499,.499,2.2,0.2,23,$2300000,Traded,*6/H,arciaor01
34,Nolan Arenado,32,STL,144,612,7,-3,-2,1,2,4,0.4,21,25,2.4,.503,.503,2.3,0.3,24,$35000000,Traded,*5D/H,arenano01
35,Gabriel Arias,23,CLE,122,345,-11,-1,0,0,1,-12,-1.2,12,0,-0.1,.490,.492,-0.1,0.1,0,$720100,Traded,63H95/D4,ariasga01
36,Randy Arozarena,28,TBR,151,654,19,-3,-1,4,-5,13,1.4,22,35,3.5,.509,.508,3.1,-0.1,31,$4150000,Traded,*7D/H,arozara01
37,Luis Arráez*,26,MIA,147,617,25,-1,-1,2,4,29,2.9,21,50,4.9,.520,.518,4.7,0.6,48,$6100000,Traded,*43/HD,arraelu01
38,Christian Arroyo,28,BOS,66,206,-9,-1,-1,1,2,-9,-0.9,7,-2,-0.2,.487,.495,-0.3,0.3,-3,$2000000,Waivers,4/H56,arroych01
39,José Azocar,27,SDP,55,102,-3,1,0,0,-1,-2,-0.2,3,1,0.1,.496,.499,0.1,-0.1,1,$723700,Free Agency,98H/7D,azocajo01
40,Akil Baddoo*,24,DET,112,357,-7,2,2,2,-4,-6,-0.6,12,7,0.6,.495,.496,0.4,-0.1,5,,Rule 5 Draft,7H/8D9,baddoak01
41,Harrison Bader,29,2TM,98,344,-16,3,1,4,2,-6,-0.6,12,6,0.6,.494,.499,0.1,0.7,2,,Waivers,8/HD,baderha01
42,Ji Hwan Bae*,23,PIT,111,371,-16,1,4,-8,4,-15,-1.6,13,-3,-0.4,.486,.490,0.5,-0.5,5,$725000,Free Agency,48H/6,baeji01
43,Javier Báez,30,DET,136,547,-24,2,0,2,7,-12,-1.2,19,6,0.6,.491,.492,0.3,1.0,4,$22000000,Free Agency,*6/DH,baezja01
44,Patrick Bailey#,24,SFG,97,353,-11,-1,0,2,6,-3,-0.3,12,9,0.8,.497,.498,0.6,0.8,7,,Amateur Draft,2/HD,bailepa01
45,Bryan Baker,28,BAL,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$729000,Waivers,1,bakerbr01
46,Luken Baker,26,STL,33,99,-2,-1,0,-2,-2,-7,-0.8,3,-4,-0.4,.477,.495,-0.2,-0.4,-2,,Amateur Draft,D3/H,bakerlu01
47,Rylan Bannon,27,HOU,2,6,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,.409,.499,-0.2,0.0,-2,,Waivers,/4D,bannory01
48,Scott Barlow,30,KCR,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$5300000,Free Agency,1,barlosc01
49,Austin Barnes,33,LAD,59,200,-16,-1,0,-3,4,-17,-1.8,7,-10,-1.1,.470,.489,-0.8,0.1,-7,$3500000,Traded,2/H4D,barneau01
50,Tucker Barnhart*,32,CHC,43,123,-8,0,-1,-3,3,-9,-0.9,4,-5,-0.6,.478,.494,-0.3,-0.1,-2,$3250000,Free Agency,2/1H,barnhtu01
51,Tres Barrera,28,STL,6,2,-1,0,0,0,0,-1,-0.1,0,0,0.0,.492,.500,0.0,0.0,0,,,/2H,barretr01
52,Jose Barrero,25,CIN,46,149,-7,0,0,-5,2,-10,-1.0,5,-5,-0.5,.479,.494,0.0,-0.3,0,$730000,Amateur Free Agent,68/HD,garcijo02
53,Joey Bart,26,SFG,30,95,-7,0,1,-3,2,-7,-0.7,3,-4,-0.4,.475,.495,-0.1,-0.1,-1,$735000,Amateur Draft,2/H,bartjo01
54,Osleivis Basabe,22,TBR,31,94,-4,-1,0,3,1,0,0.1,3,4,0.4,.501,.500,0.0,0.4,1,,Traded,6/5H497,basabos01
55,Matthew Batten,28,SDP,43,139,0,1,1,-4,1,-1,-0.1,5,4,0.4,.499,.500,0.8,-0.4,8,,Amateur Draft,45/3HD6,battema01
56,Brett Baty*,23,NYM,108,389,-16,-1,0,-5,2,-20,-2.0,13,-6,-0.8,.482,.488,-0.2,-0.3,-1,,Amateur Draft,5/HD7,batybr01
57,Jake Bauers*,27,NYY,84,272,-5,-2,1,-9,-3,-18,-1.8,9,-9,-0.9,.478,.489,0.0,-1.2,0,,Purchased,973H/D,bauerja01
58,Mike Baumann,27,BAL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$722300,Amateur Draft,1,baumami01
59,Matt Beaty*,30,2TM,30,72,-1,-1,0,-1,-2,-4,-0.4,2,-1,-0.2,.487,.498,-0.1,-0.3,0,$1250000,Free Agency,3/HD9,beatyma01
60,Josh Bell#,30,2TM,150,617,2,-3,0,-5,-11,-16,-1.6,21,5,0.4,.489,.494,0.9,-1.6,10,$16500000,Free Agency,D3/H,belljo02
61,Cody Bellinger*,27,CHC,130,556,23,0,2,2,-1,26,2.6,19,45,4.4,.520,.516,4.2,0.1,43,$12500000,Free Agency,83/DH,bellico01
62,Brandon Belt*,35,TOR,103,404,19,-2,-1,-2,-7,7,0.7,14,20,2.0,.506,.504,2.2,-0.9,22,$9300000,Free Agency,D3/H,beltbr01
63,Anthony Bemboom*,33,BAL,6,13,-1,0,0,0,0,-1,-0.1,0,0,0.0,.490,.500,0.0,0.0,0,$900000,Free Agency,/2,bemboan01
64,Andrew Benintendi*,28,CHW,151,621,-11,1,-1,-3,-5,-18,-1.8,21,3,0.2,.488,.489,0.5,-0.8,6,$8600000,Free Agency,*7/HD,beninan01
65,Will Benson*,25,CIN,108,329,13,-1,1,-3,-4,6,0.6,11,17,1.6,.505,.504,1.9,-0.7,20,$720000,Traded,97H/D8,bensowi01
66,José Berríos,29,TOR,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$15714285,Traded,1,berrijo01
67,Jon Berti,33,MIA,133,424,1,0,0,5,4,10,1.0,14,25,2.4,.508,.506,1.9,0.9,20,$2100000,Free Agency,65H74/D9,bertijo01
68,Christian Bethancourt,31,TBR,104,332,-10,1,-1,0,6,-4,-0.4,11,8,0.7,.496,.498,0.7,0.7,8,$1350000,Traded,2/HD1,bethach01
69,Mookie Betts,30,LAD,152,693,55,1,0,9,0,64,6.3,22,86,8.3,.541,.539,7.5,0.8,77,$25416667,Traded,946/H,bettsmo01
70,Bo Bichette,25,TOR,135,601,19,-2,0,5,8,30,3.1,19,49,4.9,.522,.519,4.4,1.3,44,$3933333,Amateur Draft,*6/DH,bichebo01
71,Cavan Biggio*,28,TOR,111,338,0,1,1,-5,-1,-4,-0.4,12,8,0.8,.497,.498,1.3,-0.6,13,$2800000,Amateur Draft,4H935/D6,biggica01
72,Charlie Blackmon*,36,COL,96,413,4,0,0,2,-6,0,0.0,14,14,1.3,.500,.500,1.1,-0.4,12,$15000000,Amateur Draft,D9/H,blackch02
73,Dairon Blanco,30,KCR,69,138,3,2,0,4,-3,7,0.7,5,12,1.2,.510,.504,0.8,0.2,8,,Traded,79H/8D,blancda02
74,Travis Blankenhorn*,26,WSN,10,37,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,.478,.499,-0.1,0.0,-1,,Free Agency,/79,blanktr01
75,JJ Bleday*,25,OAK,82,303,-2,-1,0,-5,-1,-10,-1.0,10,1,0.0,.488,.494,0.5,-0.6,5,,Traded,789/HD,bledajj01
76,Xander Bogaerts,30,SDP,155,665,16,3,0,-4,8,23,2.3,22,46,4.4,.515,.514,4.8,0.4,50,$25454545,Free Agency,*6/DH,bogaexa01
77,Alec Bohm,26,PHI,145,611,5,-3,-4,-12,-2,-15,-1.5,21,6,0.4,.490,.491,1.7,-1.4,18,$748000,Amateur Draft,53/DH,bohmal01
