,Tm,Lg,Fld%,Rdrs,Season,RAA,WAA,RAR,WAR,Salary,Acquired,BA,OBP,SLG,OPS,OPS+,Bat,Pos_C,Pos_1B,Pos_2B,Pos_3B,Pos_SS,Pos_OF,Num_Pos,R/AB,2B/AB,3B/AB,HR/AB,RBI/AB,BB/PA,SB - CS,BB - SO,E/Def-Inn,DP/Def-Inn,cluster
0,LAA,AL,0.976,-25,2010,-6,-0.5,18,1.9,9000000.0,Free Agency,0.255,0.352,0.435,0.787,118.0,L,0,0,0,0,0,1,1,0.15357766143106458,0.07155322862129145,0.0017452006980802793,0.034904013961605584,0.13612565445026178,0.13043478260869565,14,-45,0.005198405822214521,0.0017328019407381735,3
1,ARI,NL,0.927,-2,2010,-17,-1.9,-11,-1.3,407000.0,Traded,0.233,0.244,0.316,0.56,47.0,S,0,0,1,1,1,0,3,0.08290155440414508,0.05699481865284974,0.0051813471502590676,0.0051813471502590676,0.06735751295336788,0.01990049751243781,1,-43,0.030385900941962928,0.04861744150714068,2
2,CIN,NL,0.933,2,2010,-1,-0.1,0,0.0,500000.0,Amateur Draft,0.207,0.207,0.276,0.483,28.0,L,0,1,0,0,0,0,1,0.06896551724137931,0.06896551724137931,0.0,0.0,0.10344827586206896,0.0,0,-10,0.06666666666666667,0.16666666666666666,2
3,PIT,NL,0.938,-10,2010,-5,-0.6,7,0.6,500000.0,Amateur Draft,0.256,0.326,0.461,0.788,112.0,L,0,0,0,1,0,0,1,0.12103746397694524,0.06051873198847262,0.002881844380403458,0.04610951008645533,0.1844380403458213,0.09585492227979274,0,-82,0.02087939081306804,0.02087939081306804,3
4,LAD,NL,0.952,2,2010,-14,-1.6,-9,-1.1,550000.0,Free Agency,0.181,0.204,0.271,0.475,29.0,L,0,0,0,0,0,1,1,0.05161290322580645,0.03870967741935484,0.0064516129032258064,0.012903225806451613,0.07741935483870968,0.03067484662576687,1,-29,0.00854335753951303,0.0,0
5,TEX,AL,0.976,-7,2010,-12,-1.1,12,1.2,418420.0,Traded,0.265,0.342,0.301,0.643,72.0,R,0,0,0,0,1,0,1,0.14965986394557823,0.025510204081632654,0.00510204081632653,0.0,0.05952380952380952,0.09495548961424333,17,-32,0.012392533498567114,0.06893346758577958,2
6,MULTIPLE,MLB,0.973,-3,2010,-3,-0.3,5,0.5,2750000.0,Traded,0.232,0.321,0.389,0.709,93.0,L,0,0,0,0,0,1,1,0.14691943127962084,0.061611374407582936,0.004739336492890996,0.02843601895734597,0.11374407582938388,0.10833333333333334,2,-45,0.007489234225800411,0.0037446171129002057,3
7,MULTIPLE,MLB,0.974,-4,2010,-10,-1.0,-5,-0.5,402000.0,Traded,0.258,0.28,0.32,0.601,60.0,R,0,1,1,0,1,1,4,0.1796875,0.046875,0.0078125,0.0,0.1015625,0.029850746268656716,1,-19,0.015491866769945779,0.08907823392718824,2
8,BAL,AL,0.996,-5,2010,-18,-1.9,-12,-1.3,4000000.0,Free Agency,0.214,0.276,0.286,0.562,55.0,R,0,1,0,0,0,0,1,0.03571428571428571,0.05,0.0,0.007142857142857143,0.06428571428571428,0.07894736842105263,0,-18,0.003859513701273639,0.09262832883056735,2
9,LAD,NL,0.994,-1,2010,-3,-0.3,-1,-0.1,850000.0,Free Agency,0.222,0.31,0.254,0.564,58.0,R,1,0,0,0,0,0,1,0.06349206349206349,0.031746031746031744,0.0,0.0,0.031746031746031744,0.09859154929577464,0,-8,0.005980861244019139,0.0,2
10,DET,AL,0.993,-7,2010,-12,-1.2,1,0.1,404900.0,Amateur Draft,0.228,0.316,0.34,0.656,78.0,L,1,0,0,0,0,0,1,0.09523809523809523,0.04081632653061224,0.0,0.023809523809523808,0.1054421768707483,0.10810810810810811,0,-35,0.005289605924358635,0.0066120074054482935,2
11,KCR,AL,0.972,-8,2010,-2,-0.1,15,1.5,429000.0,Amateur Draft,0.304,0.335,0.413,0.748,104.0,R,0,0,1,1,1,0,3,0.14858490566037735,0.03773584905660377,0.007075471698113208,0.018867924528301886,0.07547169811320754,0.044642857142857144,9,-29,0.015656452695146497,0.05032431223439946,2
12,LAA,AL,0.963,4,2010,-1,0.0,21,2.2,2050000.0,Amateur Free Agent,0.253,0.306,0.33,0.636,77.0,S,0,0,0,0,1,0,1,0.12921348314606743,0.033707865168539325,0.00749063670411985,0.009363295880149813,0.054307116104868915,0.059422750424448216,14,-46,0.01780868385345997,0.05003392130257802,2
13,TBR,AL,0.964,0,2010,-11,-1.1,1,0.1,1350000.0,Traded,0.23,0.309,0.344,0.654,83.0,S,0,1,1,1,0,0,3,0.08148148148148149,0.04814814814814815,0.0,0.022222222222222223,0.15925925925925927,0.0970873786407767,0,-31,0.017857142857142856,0.017857142857142856,2
14,CHC,NL,0.966,0,2010,-1,-0.1,6,0.5,975000.0,Traded,0.272,0.326,0.413,0.739,95.0,R,0,1,1,1,0,1,4,0.1407766990291262,0.06310679611650485,0.009708737864077669,0.019417475728155338,0.10194174757281553,0.07142857142857142,1,-34,0.016233766233766236,0.034786641929499075,2
15,FLA,NL,0.988,-1,2010,-5,-0.5,-2,-0.3,415000.0,Traded,0.218,0.307,0.282,0.589,59.0,L,1,0,0,0,0,0,1,0.08974358974358974,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.10227272727272728,0,-9,0.011235955056179775,0.0056179775280898875,2
16,MULTIPLE,NL,0.996,-3,2010,-1,-0.2,10,0.8,500000.0,Purchased,0.24,0.284,0.447,0.731,97.0,R,1,0,0,0,0,0,1,0.12460063897763578,0.04472843450479233,0.0,0.054313099041533544,0.1501597444089457,0.038348082595870206,0,-41,0.003865979381443299,0.006443298969072165,3
17,FLA,NL,0.972,0,2010,-3,-0.3,-2,-0.2,415000.0,Free Agency,0.179,0.281,0.179,0.46,26.0,R,0,0,1,1,1,0,3,0.07142857142857142,0.0,0.0,0.0,0.10714285714285714,0.09375,-2,-9,0.012330456226880395,0.04932182490752158,0
18,COL,NL,0.982,13,2010,-1,-0.2,12,1.1,3325000.0,Amateur Draft,0.235,0.305,0.351,0.656,67.0,R,0,0,1,1,1,0,3,0.1111111111111111,0.05426356589147287,0.0,0.020671834625323,0.12919896640826872,0.08101851851851852,1,-31,0.010049241282283187,0.09245301979700532,2
19,TBR,AL,0.977,-1,2010,5,0.6,25,2.5,4000000.0,Traded,0.254,0.324,0.35,0.675,89.0,R,0,0,0,0,1,0,1,0.1517094017094017,0.057692307692307696,0.00641025641025641,0.008547008547008548,0.10042735042735043,0.08458646616541353,5,-38,0.009963768115942028,0.05253623188405797,3
