Rk,Name,From,To,GS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,Name-additional
1,Henry Aaron,1955,1975,17,25,72,67,7,13,0,0,2,8,2,0,3,8,.194,.222,.284,.506,aaronha01
2,Don Aase,1986,1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,aasedo01
3,James Abernathy,1947,1947,,1,,,,,,,,,,,,,,,,,abernja01
4,Bobby Abreu,2004,2005,1,2,4,3,0,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,abreubo01
5,José Abreu,2014,2019,1,3,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,abreujo02
6,Ronald Acuña Jr.,2019,2023,3,4,7,7,1,1,1,0,0,0,0,0,0,4,.143,.143,.286,.429,acunaro01
7,Ace Adams,1943,1943,,1,,,,,,,,,,,,,,,,,adamsac01
8,Joe Adcock,1960,1960,2,2,5,5,1,3,1,0,0,0,0,0,0,1,.600,.600,.800,1.400,adcocjo01
9,Tommie Agee,1966,1967,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ageeto01
10,Jesús Aguilar,2018,2018,0,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,aguilje01
11,Rick Aguilera,1991,1993,0,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,aguilri01
12,Hank Aguirre,1962,1962,0,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,aguirha01
13,Ozzie Albies,2018,2023,0,3,5,5,0,1,1,0,0,0,0,0,0,1,.200,.200,.400,.600,albieoz01
14,Sandy Alcántara,2019,2022,,2,,,,,,,,,,,,,,,,,alcansa01
15,Doyle Alexander,1988,1988,,1,,,,,,,,,,,,,,,,,alexado01
16,Edgardo Alfonzo,2000,2000,0,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,alfoned01
17,Dick Allen,1965,1974,5,7,17,16,1,3,0,0,1,2,0,0,1,7,.188,.235,.375,.610,allendi01
18,Johnny Allen,1938,1938,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,allenjo02
19,Newt Allen,1933,1941,,5,,,,,,,,,,,,,,,,,allenne02
20,Gene Alley,1967,1968,1,2,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,alleyge01
21,Bob Allison,1959,1964,1,3,5,4,0,0,0,0,0,0,0,0,1,3,.000,.200,.000,.200,allisbo01
22,Roberto Alomar,1990,2001,9,12,32,30,5,7,0,0,2,3,5,0,2,1,.233,.281,.433,.715,alomaro01
23,Sandy Alomar,1970,1970,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,alomasa01
24,Sandy Alomar,1990,1998,3,6,12,12,2,5,0,0,1,3,0,0,0,0,.417,.417,.667,1.083,alomasa02
25,Pete Alonso,2019,2023,0,3,5,4,0,1,0,0,0,2,1,0,1,3,.250,.400,.250,.650,alonspe01
26,Yonder Alonso,2017,2017,0,1,2,2,0,2,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,alonsyo01
27,Felipe Alou,1962,1968,0,3,1,0,0,0,0,0,0,1,0,0,0,0,,.000,,,aloufe01
