Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
1,Fernando Abad,37,COL,NL,6,0,0,6.1,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,P,abadfe01
2,Andrew Abbott,24,CIN,NL,21,21,0,109.1,10,1,9,0,1,1.000,,,1,2,0,0.82,0.48,P,abbotan01
3,Cory Abbott,27,WSN,NL,22,0,0,39.1,1,0,1,0,1,1.000,,,-2,-10,0,0.23,0.05,P,abbotco01
4,CJ Abrams,22,WSN,NL,151,148,143,1294.2,651,245,384,22,100,.966,-7,-7,4,4,2,4.37,4.17,SS,abramcj01
5,Albert Abreu,27,NYY,AL,45,0,0,59.0,12,6,4,2,0,.833,,,-1,-3,0,1.53,0.22,P,abreual01
6,Bryan Abreu,26,HOU,AL,72,0,0,72.0,11,5,6,0,0,1.000,,,1,3,0,1.38,0.15,P,abreubr01
7,José Abreu,36,HOU,AL,134,134,128,1184.0,1089,1017,67,5,106,.995,-1,-1,-1,-1,0,8.24,8.09,1B,abreujo02
8,Wilyer Abreu,24,BOS,AL,25,19,13,168.2,43,40,2,1,1,.977,1,4,2,14,0,2.24,1.68,OF,abreuwi02
9,Domingo Acevedo,29,OAK,AL,9,0,0,9.1,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,P,acevedo01
10,Garrett Acton,25,OAK,AL,6,0,0,5.2,1,0,1,0,0,1.000,,,0,0,0,1.59,0.17,P,actonga01
11,Ronald Acuña Jr.,25,ATL,NL,157,156,147,1361.0,296,281,10,5,1,.983,2,2,-2,-1,1,1.92,1.87,OF,acunaro01
12,Jason Adam,31,TBR,AL,56,0,0,54.1,9,4,5,0,1,1.000,,,1,4,1,1.49,0.16,P,adamja01
13,Willy Adames,27,MIL,NL,147,147,138,1282.0,524,159,351,14,58,.973,11,10,8,7,-1,3.58,3.47,SS,adamewi01
14,Austin Adams,32,ARI,NL,24,0,0,17.1,2,0,2,0,0,1.000,,,-1,-12,0,1.04,0.08,P,adamsau02
15,Jordyn Adams,23,LAA,AL,14,10,9,94.0,29,27,0,2,0,.931,-2,-24,-1,-12,0,2.59,1.93,OF,adamsjo03
16,Riley Adams,27,WSN,NL,40,38,36,336.2,303,293,8,2,1,.993,1,4,-4,-14,1,8.05,7.53,C,adamsri03
17,Ty Adcock,26,SEA,AL,12,0,0,15.2,4,1,3,0,0,1.000,,,0,0,0,2.30,0.33,P,adcocty01
18,Jo Adell,24,LAA,AL,16,15,12,129.2,40,40,0,0,0,1.000,0,1,3,27,2,2.78,2.67,OF,adelljo01
19,Joan Adon,24,WSN,NL,12,10,0,51.2,13,6,7,0,0,1.000,,,-1,-4,0,2.26,1.08,P,adonjo01
20,Ehire Adrianza,33,ATL,NL,3,2,1,21.0,5,2,2,1,1,.800,-2,-103,-1,-57,0,1.71,1.33,SS,adriaeh01
21,Jesús Aguilar,33,OAK,AL,24,20,11,163.0,124,112,10,2,13,.984,-2,-13,-3,-22,-1,6.74,5.08,1B,aguilje01
22,Nick Ahmed,33,ARI,NL,65,56,43,488.1,216,75,133,8,26,.963,1,2,1,2,1,3.83,3.20,SS,ahmedni01
23,Keegan Akin,28,BAL,AL,24,1,0,23.2,7,3,2,2,0,.714,,,1,8,0,1.90,0.21,P,akinke01
24,Hanser Alberto,30,CHW,AL,30,20,14,194.0,85,39,42,4,9,.953,0,-1,1,6,0,3.76,2.38,3B-2B-1B-P,alberha01
25,Ozzie Albies,26,ATL,NL,148,148,146,1314.0,587,211,368,8,79,.986,8,8,0,0,0,3.97,3.91,2B,albieoz01
26,Jorge Alcalá,27,MIN,AL,11,0,0,17.1,3,1,2,0,0,1.000,,,1,12,0,1.56,0.27,P,alcaljo01
27,Sandy Alcántara,27,MIA,NL,28,28,3,184.2,35,14,16,5,1,.857,,,-4,-4,0,1.46,1.07,P,alcansa01
28,Scott Alexander,33,SFG,NL,55,8,0,48.1,18,5,12,1,1,.944,,,0,0,0,3.17,0.31,P,alexasc02
